event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),city,campaign_name,start_date,end_date,product_name,category,cluster
7d6e2a,STMLR-0,CAMP_DIW_01,P03,156,0,166,146,5,0,315,321,Atliq_Suflower_Oil (1L),1,1
c8ce63,STMDU-0,CAMP_DIW_01,P15,3000,3,369,1221,4,0,315,321,Atliq_Home_Essential_8_Product_Combo,0,2
bd1314,STMYS-2,CAMP_SAN_01,P05,55,0,37,30,6,1,374,380,Atliq_Scrub_Sponge_For_Dishwash,3,0
7634c0,STMLR-0,CAMP_SAN_01,P10,50,0,15,12,5,1,374,380,Atliq_Cream_Beauty_Bathing_Soap (125GM),4,0
d304f9,STCHE-5,CAMP_DIW_01,P04,290,0,309,268,1,0,315,321,Atliq_Farm_Chakki_Atta (1KG),1,1
34ac29,STMDU-0,CAMP_DIW_01,P06,415,0,73,64,4,0,315,321,Atliq_Fusion_Container_Set_of_3,3,1
57a7bc,STHYD-5,CAMP_SAN_01,P14,1020,4,100,391,3,1,374,380,Atliq_waterproof_Immersion_Rod,2,0
70e65e,STCBE-0,CAMP_DIW_01,P15,3000,3,320,937,2,0,315,321,Atliq_Home_Essential_8_Product_Combo,0,2
cf2a34,STHYD-3,CAMP_DIW_01,P06,415,0,106,81,3,0,315,321,Atliq_Fusion_Container_Set_of_3,3,1
1c1cb7,STHYD-5,CAMP_SAN_01,P10,50,0,39,35,3,1,374,380,Atliq_Cream_Beauty_Bathing_Soap (125GM),4,0
8.25E+90,STBLR-3,CAMP_DIW_01,P05,55,0,112,88,0,0,315,321,Atliq_Scrub_Sponge_For_Dishwash,3,1
ad56bd,STMLR-2,CAMP_DIW_01,P09,110,2,36,37,5,0,315,321,Atliq_Body_Milk_Nourishing_Lotion (120ML),4,1
32efe6,STVSK-3,CAMP_SAN_01,P08,1190,4,30,81,9,1,374,380,Atliq_Double_Bedsheet_set,3,0
eaa64b,STBLR-3,CAMP_SAN_01,P09,90,0,58,43,0,1,374,380,Atliq_Body_Milk_Nourishing_Lotion (120ML),4,0
9e82db,STMDU-1,CAMP_DIW_01,P05,55,0,92,79,4,0,315,321,Atliq_Scrub_Sponge_For_Dishwash,3,1
d5b8af,STVJD-1,CAMP_SAN_01,P11,190,2,25,35,8,1,374,380,Atliq_Doodh_Kesar_Body_Lotion (200ML),4,0
6d24bc,STMDU-2,CAMP_DIW_01,P03,156,0,206,179,4,0,315,321,Atliq_Suflower_Oil (1L),1,1
107747,STHYD-1,CAMP_SAN_01,P02,860,1,488,580,3,1,374,380,Atliq_Sonamasuri_Rice (10KG),1,2
04da18,STVSK-4,CAMP_SAN_01,P03,200,4,223,604,9,1,374,380,Atliq_Suflower_Oil (1L),1,0
3a3e96,STBLR-6,CAMP_DIW_01,P07,300,4,68,263,0,0,315,321,Atliq_Curtains,3,1
8f1624,STVJD-0,CAMP_DIW_01,P10,65,2,57,75,8,0,315,321,Atliq_Cream_Beauty_Bathing_Soap (125GM),4,1
b8269b,STBLR-1,CAMP_DIW_01,P13,350,4,77,232,0,0,315,321,Atliq_High_Glo_15W_LED_Bulb,2,1
c6ca4d,STHYD-2,CAMP_SAN_01,P02,860,1,465,646,3,1,374,380,Atliq_Sonamasuri_Rice (10KG),1,2
987463,STBLR-0,CAMP_SAN_01,P07,300,4,45,185,0,1,374,380,Atliq_Curtains,3,0
0b51fe,STHYD-3,CAMP_SAN_01,P10,50,0,39,29,3,1,374,380,Atliq_Cream_Beauty_Bathing_Soap (125GM),4,0
d1ceaf,STBLR-5,CAMP_SAN_01,P10,50,0,36,29,0,1,374,380,Atliq_Cream_Beauty_Bathing_Soap (125GM),4,0
d834f0,STMYS-3,CAMP_SAN_01,P08,1190,4,34,147,6,1,374,380,Atliq_Double_Bedsheet_set,3,0
1ed982,STCHE-6,CAMP_DIW_01,P13,350,4,75,252,1,0,315,321,Atliq_High_Glo_15W_LED_Bulb,2,1
e9c690,STMDU-3,CAMP_SAN_01,P09,90,0,45,38,4,1,374,380,Atliq_Body_Milk_Nourishing_Lotion (120ML),4,0
268ca2,STVJD-0,CAMP_SAN_01,P15,3000,3,63,151,8,1,374,380,Atliq_Home_Essential_8_Product_Combo,0,0
a1624e,STHYD-1,CAMP_DIW_01,P02,860,1,351,449,3,0,315,321,Atliq_Sonamasuri_Rice (10KG),1,1
31b59d,STVSK-3,CAMP_SAN_01,P10,50,0,27,21,9,1,374,380,Atliq_Cream_Beauty_Bathing_Soap (125GM),4,0
82454e,STMLR-1,CAMP_DIW_01,P05,55,0,54,48,5,0,315,321,Atliq_Scrub_Sponge_For_Dishwash,3,1
1548f8,STVSK-4,CAMP_SAN_01,P15,3000,3,100,175,9,1,374,380,Atliq_Home_Essential_8_Product_Combo,0,0
84a2f4,STCHE-7,CAMP_SAN_01,P04,370,4,423,1801,1,1,374,380,Atliq_Farm_Chakki_Atta (1KG),1,2
9e59d5,STVSK-1,CAMP_DIW_01,P05,55,0,64,49,9,0,315,321,Atliq_Scrub_Sponge_For_Dishwash,3,1
873333,STMLR-0,CAMP_DIW_01,P15,3000,3,196,509,5,0,315,321,Atliq_Home_Essential_8_Product_Combo,0,1
8b751b,STMLR-0,CAMP_SAN_01,P05,55,0,15,12,5,1,374,380,Atliq_Scrub_Sponge_For_Dishwash,3,0
f856b9,STMLR-2,CAMP_SAN_01,P15,3000,3,66,147,5,1,374,380,Atliq_Home_Essential_8_Product_Combo,0,0
dcaa89,STHYD-6,CAMP_SAN_01,P13,350,4,100,403,3,1,374,380,Atliq_High_Glo_15W_LED_Bulb,2,0
677e2c,STHYD-1,CAMP_SAN_01,P13,350,4,122,326,3,1,374,380,Atliq_High_Glo_15W_LED_Bulb,2,0
b00eeb,STCHE-0,CAMP_SAN_01,P08,1190,4,51,196,1,1,374,380,Atliq_Double_Bedsheet_set,3,0
8ff468,STVJD-0,CAMP_SAN_01,P03,200,4,193,773,8,1,374,380,Atliq_Suflower_Oil (1L),1,0
72f6b4,STTRV-0,CAMP_SAN_01,P02,860,1,241,344,7,1,374,380,Atliq_Sonamasuri_Rice (10KG),1,0
300664,STHYD-5,CAMP_DIW_01,P13,350,4,80,276,3,0,315,321,Atliq_High_Glo_15W_LED_Bulb,2,1
7ecbbb,STHYD-1,CAMP_DIW_01,P06,415,0,103,88,3,0,315,321,Atliq_Fusion_Container_Set_of_3,3,1
2dc515,STMYS-3,CAMP_SAN_01,P01,172,1,232,294,6,1,374,380,Atliq_Masoor_Dal (1KG),1,0
a4fb0b,STMDU-0,CAMP_SAN_01,P02,860,1,318,448,4,1,374,380,Atliq_Sonamasuri_Rice (10KG),1,0
f2d198,STTRV-1,CAMP_DIW_01,P03,156,0,166,157,7,0,315,321,Atliq_Suflower_Oil (1L),1,1
df5c15,STBLR-5,CAMP_DIW_01,P06,415,0,101,90,0,0,315,321,Atliq_Fusion_Container_Set_of_3,3,1
4e6a19,STHYD-3,CAMP_SAN_01,P07,300,4,45,121,3,1,374,380,Atliq_Curtains,3,0
6436da,STMDU-1,CAMP_SAN_01,P08,1190,4,30,118,4,1,374,380,Atliq_Double_Bedsheet_set,3,0
852b4f,STHYD-5,CAMP_SAN_01,P12,62,2,49,70,3,1,374,380,Atliq_Lime_Cool_Bathing_Bar (125GM),4,0
26322a,STMLR-0,CAMP_DIW_01,P10,65,2,52,71,5,0,315,321,Atliq_Cream_Beauty_Bathing_Soap (125GM),4,1
57576d,STBLR-5,CAMP_SAN_01,P08,1190,4,49,194,0,1,374,380,Atliq_Double_Bedsheet_set,3,0
af646e,STHYD-4,CAMP_SAN_01,P11,190,2,54,78,3,1,374,380,Atliq_Doodh_Kesar_Body_Lotion (200ML),4,0
ccbc3a,STTRV-0,CAMP_DIW_01,P06,415,0,52,49,7,0,315,321,Atliq_Fusion_Container_Set_of_3,3,1
572031,STBLR-6,CAMP_SAN_01,P03,200,4,423,1734,0,1,374,380,Atliq_Suflower_Oil (1L),1,2
5a21a5,STBLR-4,CAMP_SAN_01,P10,50,0,31,26,0,1,374,380,Atliq_Cream_Beauty_Bathing_Soap (125GM),4,0
c6bf42,STCBE-3,CAMP_DIW_01,P07,300,4,52,173,2,0,315,321,Atliq_Curtains,3,1
f5ff07,STCHE-6,CAMP_DIW_01,P11,190,2,80,100,1,0,315,321,Atliq_Doodh_Kesar_Body_Lotion (200ML),4,1
2c8137,STVSK-3,CAMP_SAN_01,P07,300,4,31,77,9,1,374,380,Atliq_Curtains,3,0
4e3a3d,STVJD-0,CAMP_DIW_01,P02,860,1,197,285,8,0,315,321,Atliq_Sonamasuri_Rice (10KG),1,1
582098,STMYS-1,CAMP_SAN_01,P14,1020,4,109,453,6,1,374,380,Atliq_waterproof_Immersion_Rod,2,0
9387d1,STHYD-6,CAMP_DIW_01,P02,860,1,329,470,3,0,315,321,Atliq_Sonamasuri_Rice (10KG),1,1
6c9451,STVSK-0,CAMP_DIW_01,P03,156,0,259,225,9,0,315,321,Atliq_Suflower_Oil (1L),1,1
9c74f7,STBLR-9,CAMP_DIW_01,P09,110,2,71,90,0,0,315,321,Atliq_Body_Milk_Nourishing_Lotion (120ML),4,1
c3bbcc,STBLR-2,CAMP_SAN_01,P07,300,4,31,122,0,1,374,380,Atliq_Curtains,3,0
00a25a,STCHE-3,CAMP_SAN_01,P12,62,2,64,89,1,1,374,380,Atliq_Lime_Cool_Bathing_Bar (125GM),4,0
7b0f7d,STVJD-1,CAMP_DIW_01,P01,172,1,180,255,8,0,315,321,Atliq_Masoor_Dal (1KG),1,1
b484bd,STTRV-1,CAMP_DIW_01,P06,415,0,36,34,7,0,315,321,Atliq_Fusion_Container_Set_of_3,3,1
3aaafb,STMDU-2,CAMP_DIW_01,P06,415,0,50,43,4,0,315,321,Atliq_Fusion_Container_Set_of_3,3,1
20d916,STCBE-1,CAMP_DIW_01,P07,300,4,57,188,2,0,315,321,Atliq_Curtains,3,1
eccfbe,STCHE-1,CAMP_DIW_01,P02,860,1,364,451,1,0,315,321,Atliq_Sonamasuri_Rice (10KG),1,1
71a7a0,STCHE-6,CAMP_DIW_01,P14,1020,4,59,195,1,0,315,321,Atliq_waterproof_Immersion_Rod,2,1
fd2628,STBLR-8,CAMP_DIW_01,P15,3000,3,437,1306,0,0,315,321,Atliq_Home_Essential_8_Product_Combo,0,2
7b187a,STVSK-1,CAMP_SAN_01,P14,1020,4,82,322,9,1,374,380,Atliq_waterproof_Immersion_Rod,2,0
345b49,STMDU-2,CAMP_SAN_01,P14,1020,4,76,300,4,1,374,380,Atliq_waterproof_Immersion_Rod,2,0
1c4a78,STMLR-2,CAMP_SAN_01,P12,62,2,27,31,5,1,374,380,Atliq_Lime_Cool_Bathing_Bar (125GM),4,0
70c312,STHYD-4,CAMP_SAN_01,P13,350,4,135,534,3,1,374,380,Atliq_High_Glo_15W_LED_Bulb,2,0
1ee94b,STHYD-0,CAMP_DIW_01,P13,350,4,68,235,3,0,315,321,Atliq_High_Glo_15W_LED_Bulb,2,1
c381ea,STMLR-1,CAMP_SAN_01,P08,1190,4,27,106,5,1,374,380,Atliq_Double_Bedsheet_set,3,0
8724c8,STCBE-4,CAMP_SAN_01,P04,370,4,363,990,2,1,374,380,Atliq_Farm_Chakki_Atta (1KG),1,2
8f3699,STVSK-3,CAMP_DIW_01,P03,156,0,196,174,9,0,315,321,Atliq_Suflower_Oil (1L),1,1
bfb2b4,STBLR-7,CAMP_SAN_01,P13,350,4,133,559,0,1,374,380,Atliq_High_Glo_15W_LED_Bulb,2,0
19e2f0,STCHE-7,CAMP_SAN_01,P11,190,2,58,81,1,1,374,380,Atliq_Doodh_Kesar_Body_Lotion (200ML),4,0
a0d919,STMDU-1,CAMP_DIW_01,P08,1190,4,35,122,4,0,315,321,Atliq_Double_Bedsheet_set,3,1
98c85b,STMLR-2,CAMP_DIW_01,P13,350,4,38,133,5,0,315,321,Atliq_High_Glo_15W_LED_Bulb,2,1
d60641,STHYD-0,CAMP_DIW_01,P03,156,0,351,305,3,0,315,321,Atliq_Suflower_Oil (1L),1,1
a340fc,STBLR-4,CAMP_DIW_01,P05,55,0,136,121,0,0,315,321,Atliq_Scrub_Sponge_For_Dishwash,3,1
4dca21,STVSK-1,CAMP_SAN_01,P04,370,4,252,985,9,1,374,380,Atliq_Farm_Chakki_Atta (1KG),1,2
ff18f2,STVSK-3,CAMP_DIW_01,P15,3000,3,260,681,9,0,315,321,Atliq_Home_Essential_8_Product_Combo,0,2
b79fd9,STVJD-1,CAMP_DIW_01,P04,290,0,150,123,8,0,315,321,Atliq_Farm_Chakki_Atta (1KG),1,1
c23e33,STHYD-6,CAMP_SAN_01,P11,190,2,49,69,3,1,374,380,Atliq_Doodh_Kesar_Body_Lotion (200ML),4,0
cf734f,STHYD-4,CAMP_SAN_01,P08,1190,4,51,203,3,1,374,380,Atliq_Double_Bedsheet_set,3,0
0951b6,STMYS-1,CAMP_DIW_01,P09,110,2,103,159,6,0,315,321,Atliq_Body_Milk_Nourishing_Lotion (120ML),4,1
413f48,STVSK-0,CAMP_SAN_01,P14,1020,4,61,234,9,1,374,380,Atliq_waterproof_Immersion_Rod,2,0
de1ced,STCHE-3,CAMP_DIW_01,P03,156,0,330,290,1,0,315,321,Atliq_Suflower_Oil (1L),1,1
291ddf,STCBE-1,CAMP_SAN_01,P03,200,4,267,1054,2,1,374,380,Atliq_Suflower_Oil (1L),1,2
aa1bbd,STCBE-0,CAMP_SAN_01,P10,50,0,25,22,2,1,374,380,Atliq_Cream_Beauty_Bathing_Soap (125GM),4,0
53a947,STBLR-1,CAMP_SAN_01,P06,415,0,39,36,0,1,374,380,Atliq_Fusion_Container_Set_of_3,3,0
b8f698,STMDU-3,CAMP_DIW_01,P10,65,2,68,76,4,0,315,321,Atliq_Cream_Beauty_Bathing_Soap (125GM),4,1
13ad42,STMDU-0,CAMP_DIW_01,P03,156,0,241,209,4,0,315,321,Atliq_Suflower_Oil (1L),1,1
93e61f,STBLR-4,CAMP_DIW_01,P10,65,2,92,120,0,0,315,321,Atliq_Cream_Beauty_Bathing_Soap (125GM),4,1
3070a3,STVSK-3,CAMP_DIW_01,P10,65,2,68,76,9,0,315,321,Atliq_Cream_Beauty_Bathing_Soap (125GM),4,1
cf0a2a,STHYD-3,CAMP_DIW_01,P09,110,2,92,147,3,0,315,321,Atliq_Body_Milk_Nourishing_Lotion (120ML),4,1
ae5745,STCBE-4,CAMP_DIW_01,P06,415,0,68,61,2,0,315,321,Atliq_Fusion_Container_Set_of_3,3,1
695cd9,STTRV-1,CAMP_SAN_01,P07,300,4,21,82,7,1,374,380,Atliq_Curtains,3,0
b76614,STMLR-0,CAMP_SAN_01,P12,62,2,33,47,5,1,374,380,Atliq_Lime_Cool_Bathing_Bar (125GM),4,0
d42636,STBLR-6,CAMP_SAN_01,P05,55,0,25,20,0,1,374,380,Atliq_Scrub_Sponge_For_Dishwash,3,0
d9d3f4,STMYS-1,CAMP_DIW_01,P10,65,2,103,158,6,0,315,321,Atliq_Cream_Beauty_Bathing_Soap (125GM),4,1
8cbaa3,STHYD-2,CAMP_SAN_01,P08,1190,4,60,238,3,1,374,380,Atliq_Double_Bedsheet_set,3,0
aaea9e,STTRV-0,CAMP_DIW_01,P10,65,2,68,93,7,0,315,321,Atliq_Cream_Beauty_Bathing_Soap (125GM),4,1
34a266,STMLR-0,CAMP_DIW_01,P08,1190,4,24,70,5,0,315,321,Atliq_Double_Bedsheet_set,3,1
b017e0,STMDU-3,CAMP_DIW_01,P02,860,1,276,345,4,0,315,321,Atliq_Sonamasuri_Rice (10KG),1,1
7014a8,STBLR-8,CAMP_SAN_01,P14,1020,4,97,385,0,1,374,380,Atliq_waterproof_Immersion_Rod,2,0
9e2de4,STMLR-0,CAMP_SAN_01,P07,300,4,21,54,5,1,374,380,Atliq_Curtains,3,0
ec29f9,STTRV-1,CAMP_SAN_01,P06,415,0,21,19,7,1,374,380,Atliq_Fusion_Container_Set_of_3,3,0
5c50b6,STHYD-6,CAMP_SAN_01,P09,90,0,55,45,3,1,374,380,Atliq_Body_Milk_Nourishing_Lotion (120ML),4,0
e2a523,STHYD-5,CAMP_DIW_01,P07,300,4,59,195,3,0,315,321,Atliq_Curtains,3,1
166a02,STCHE-6,CAMP_SAN_01,P13,350,4,111,445,1,1,374,380,Atliq_High_Glo_15W_LED_Bulb,2,0
61b929,STVSK-2,CAMP_DIW_01,P14,1020,4,33,109,9,0,315,321,Atliq_waterproof_Immersion_Rod,2,1
908a96,STHYD-4,CAMP_SAN_01,P12,62,2,52,72,3,1,374,380,Atliq_Lime_Cool_Bathing_Bar (125GM),4,0
d0f417,STCBE-4,CAMP_DIW_01,P12,62,2,89,112,2,0,315,321,Atliq_Lime_Cool_Bathing_Bar (125GM),4,1
c4b10c,STCHE-5,CAMP_DIW_01,P06,415,0,87,77,1,0,315,321,Atliq_Fusion_Container_Set_of_3,3,1
e39703,STBLR-9,CAMP_DIW_01,P08,1190,4,47,163,0,0,315,321,Atliq_Double_Bedsheet_set,3,1
1.11E+11,STMYS-3,CAMP_SAN_01,P11,190,2,43,48,6,1,374,380,Atliq_Doodh_Kesar_Body_Lotion (200ML),4,0
029ff8,STMLR-0,CAMP_SAN_01,P01,172,1,169,236,5,1,374,380,Atliq_Masoor_Dal (1KG),1,0
daff65,STMLR-0,CAMP_DIW_01,P11,190,2,35,45,5,0,315,321,Atliq_Doodh_Kesar_Body_Lotion (200ML),4,1
108a63,STHYD-3,CAMP_SAN_01,P05,55,0,30,22,3,1,374,380,Atliq_Scrub_Sponge_For_Dishwash,3,0
e7d681,STCHE-5,CAMP_DIW_01,P13,350,4,66,226,1,0,315,321,Atliq_High_Glo_15W_LED_Bulb,2,1
02fa4b,STVSK-4,CAMP_DIW_01,P01,172,1,155,218,9,0,315,321,Atliq_Masoor_Dal (1KG),1,1
2b0a40,STHYD-2,CAMP_DIW_01,P13,350,4,82,273,3,0,315,321,Atliq_High_Glo_15W_LED_Bulb,2,1
406a98,STBLR-5,CAMP_SAN_01,P01,172,1,264,361,0,1,374,380,Atliq_Masoor_Dal (1KG),1,0
ad1849,STCHE-1,CAMP_DIW_01,P05,55,0,119,107,1,0,315,321,Atliq_Scrub_Sponge_For_Dishwash,3,1
cfa879,STCHE-4,CAMP_SAN_01,P13,350,4,114,502,1,1,374,380,Atliq_High_Glo_15W_LED_Bulb,2,0
d2b963,STVJD-0,CAMP_SAN_01,P14,1020,4,48,187,8,1,374,380,Atliq_waterproof_Immersion_Rod,2,0
2e3393,STCHE-3,CAMP_SAN_01,P14,1020,4,112,460,1,1,374,380,Atliq_waterproof_Immersion_Rod,2,0
68718c,STCHE-0,CAMP_DIW_01,P04,290,0,309,265,1,0,315,321,Atliq_Farm_Chakki_Atta (1KG),1,1
591730,STBLR-2,CAMP_SAN_01,P09,90,0,64,53,0,1,374,380,Atliq_Body_Milk_Nourishing_Lotion (120ML),4,0
7d1872,STMYS-2,CAMP_DIW_01,P02,860,1,283,430,6,0,315,321,Atliq_Sonamasuri_Rice (10KG),1,1
4b3df6,STTRV-1,CAMP_SAN_01,P14,1020,4,61,234,7,1,374,380,Atliq_waterproof_Immersion_Rod,2,0
55b461,STMDU-0,CAMP_SAN_01,P06,415,0,21,17,4,1,374,380,Atliq_Fusion_Container_Set_of_3,3,0
