event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),city,campaign_name,start_date,end_date,product_name,category
02ebe9,STBLR-8,CAMP_DIW_01,P11,190,50% OFF,66,88,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care
260ff2,STMYS-2,CAMP_SAN_01,P01,172,33% OFF,204,291,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples
7fc923,STTRV-0,CAMP_SAN_01,P08,1190,BOGOF,19,74,Trivandrum,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care
b08c12,STMDU-3,CAMP_DIW_01,P03,156,25% OFF,227,202,Madurai,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples
ca7298,STCBE-2,CAMP_SAN_01,P15,3000,500 Cashback,85,228,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1
bf33ae,STMYS-0,CAMP_DIW_01,P14,1020,BOGOF,59,182,Mysuru,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,Home Appliances
35fb5b,STCBE-2,CAMP_DIW_01,P13,350,BOGOF,50,190,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_High_Glo_15W_LED_Bulb,Home Appliances
def6ff,STMDU-0,CAMP_DIW_01,P11,190,50% OFF,70,89,Madurai,Diwali,12-11-2023,18-11-2023,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care
2f3e5d,STCHE-2,CAMP_SAN_01,P01,172,33% OFF,333,402,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples
ca3893,STMYS-1,CAMP_SAN_01,P09,90,25% OFF,52,39,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care
922e6a,STBLR-8,CAMP_SAN_01,P05,55,25% OFF,34,24,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Scrub_Sponge_For_Dishwash,Home Care
4f0587,STMDU-0,CAMP_SAN_01,P08,1190,BOGOF,33,136,Madurai,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care
fa5b45,STVJD-1,CAMP_SAN_01,P08,1190,BOGOF,27,109,Vijayawada,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care
df45ee,STHYD-3,CAMP_DIW_01,P01,172,33% OFF,309,534,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Masoor_Dal (1KG),Grocery & Staples
f3ac85,STBLR-5,CAMP_SAN_01,P03,200,BOGOF,348,1350,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples
292ca5,STHYD-2,CAMP_DIW_01,P04,290,25% OFF,287,220,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples
620715,STMYS-3,CAMP_SAN_01,P03,200,BOGOF,340,1485,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples
7e9777,STVJD-1,CAMP_DIW_01,P08,1190,BOGOF,24,82,Vijayawada,Diwali,12-11-2023,18-11-2023,Atliq_Double_Bedsheet_set,Home Care
761785,STBLR-4,CAMP_SAN_01,P14,1020,BOGOF,121,474,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,Home Appliances
eb3bea,STVSK-2,CAMP_SAN_01,P15,3000,500 Cashback,109,238,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1
276150,STCBE-3,CAMP_SAN_01,P07,300,BOGOF,33,128,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care
3beb46,STMYS-2,CAMP_SAN_01,P13,350,BOGOF,81,208,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances
47af00,STVJD-1,CAMP_DIW_01,P03,156,25% OFF,183,150,Vijayawada,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples
627200,STCBE-4,CAMP_DIW_01,P14,1020,BOGOF,36,111,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,Home Appliances
bc8315,STHYD-1,CAMP_DIW_01,P12,62,50% OFF,122,135,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care
1f083a,STVJD-0,CAMP_SAN_01,P06,415,25% OFF,16,14,Vijayawada,Sankranti,10-01-2024,16-01-2024,Atliq_Fusion_Container_Set_of_3,Home Care
c1e0b6,STCHE-6,CAMP_SAN_01,P01,172,33% OFF,273,379,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples
f60d93,STCBE-0,CAMP_DIW_01,P05,55,25% OFF,78,75,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care
a10402,STVSK-2,CAMP_SAN_01,P02,860,33% OFF,295,436,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples
741bef,STMYS-0,CAMP_SAN_01,P13,350,BOGOF,114,287,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances
105788,STCHE-0,CAMP_SAN_01,P07,300,BOGOF,58,232,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care
a85a9a,STHYD-2,CAMP_SAN_01,P10,50,25% OFF,42,31,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care
4.47E+06,STVJD-0,CAMP_SAN_01,P04,370,BOGOF,253,1017,Vijayawada,Sankranti,10-01-2024,16-01-2024,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples
830e9a,STCHE-1,CAMP_DIW_01,P01,172,33% OFF,325,396,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Masoor_Dal (1KG),Grocery & Staples
29524a,STBLR-9,CAMP_SAN_01,P10,50,25% OFF,40,36,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care
3ce076,STMLR-1,CAMP_DIW_01,P11,190,50% OFF,38,50,Mangalore,Diwali,12-11-2023,18-11-2023,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care
32fa85,STCHE-3,CAMP_DIW_01,P05,55,25% OFF,106,92,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care
42f304,STCBE-3,CAMP_DIW_01,P06,415,25% OFF,66,57,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care
a929ed,STHYD-5,CAMP_DIW_01,P03,156,25% OFF,358,347,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples
6dae49,STBLR-1,CAMP_DIW_01,P05,55,25% OFF,117,114,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care
3b54c7,STHYD-3,CAMP_DIW_01,P04,290,25% OFF,367,297,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples
7d6e2a,STMLR-0,CAMP_DIW_01,P03,156,25% OFF,166,146,Mangalore,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples
c8ce63,STMDU-0,CAMP_DIW_01,P15,3000,500 Cashback,369,1221,Madurai,Diwali,12-11-2023,18-11-2023,Atliq_Home_Essential_8_Product_Combo,Combo1
bd1314,STMYS-2,CAMP_SAN_01,P05,55,25% OFF,37,30,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_Scrub_Sponge_For_Dishwash,Home Care
7634c0,STMLR-0,CAMP_SAN_01,P10,50,25% OFF,15,12,Mangalore,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care
d304f9,STCHE-5,CAMP_DIW_01,P04,290,25% OFF,309,268,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples
34ac29,STMDU-0,CAMP_DIW_01,P06,415,25% OFF,73,64,Madurai,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care
57a7bc,STHYD-5,CAMP_SAN_01,P14,1020,BOGOF,100,391,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,Home Appliances
70e65e,STCBE-0,CAMP_DIW_01,P15,3000,500 Cashback,320,937,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_Home_Essential_8_Product_Combo,Combo1
cf2a34,STHYD-3,CAMP_DIW_01,P06,415,25% OFF,106,81,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care
1c1cb7,STHYD-5,CAMP_SAN_01,P10,50,25% OFF,39,35,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care
8.25E+90,STBLR-3,CAMP_DIW_01,P05,55,25% OFF,112,88,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care
ad56bd,STMLR-2,CAMP_DIW_01,P09,110,50% OFF,36,37,Mangalore,Diwali,12-11-2023,18-11-2023,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care
32efe6,STVSK-3,CAMP_SAN_01,P08,1190,BOGOF,30,81,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care
eaa64b,STBLR-3,CAMP_SAN_01,P09,90,25% OFF,58,43,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care
9e82db,STMDU-1,CAMP_DIW_01,P05,55,25% OFF,92,79,Madurai,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care
d5b8af,STVJD-1,CAMP_SAN_01,P11,190,50% OFF,25,35,Vijayawada,Sankranti,10-01-2024,16-01-2024,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care
6d24bc,STMDU-2,CAMP_DIW_01,P03,156,25% OFF,206,179,Madurai,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples
107747,STHYD-1,CAMP_SAN_01,P02,860,33% OFF,488,580,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples
04da18,STVSK-4,CAMP_SAN_01,P03,200,BOGOF,223,604,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples
3a3e96,STBLR-6,CAMP_DIW_01,P07,300,BOGOF,68,263,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Curtains,Home Care
8f1624,STVJD-0,CAMP_DIW_01,P10,65,50% OFF,57,75,Vijayawada,Diwali,12-11-2023,18-11-2023,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care
b8269b,STBLR-1,CAMP_DIW_01,P13,350,BOGOF,77,232,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_High_Glo_15W_LED_Bulb,Home Appliances
c6ca4d,STHYD-2,CAMP_SAN_01,P02,860,33% OFF,465,646,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples
987463,STBLR-0,CAMP_SAN_01,P07,300,BOGOF,45,185,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care
0b51fe,STHYD-3,CAMP_SAN_01,P10,50,25% OFF,39,29,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care
d1ceaf,STBLR-5,CAMP_SAN_01,P10,50,25% OFF,36,29,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care
d834f0,STMYS-3,CAMP_SAN_01,P08,1190,BOGOF,34,147,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care
1ed982,STCHE-6,CAMP_DIW_01,P13,350,BOGOF,75,252,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_High_Glo_15W_LED_Bulb,Home Appliances
e9c690,STMDU-3,CAMP_SAN_01,P09,90,25% OFF,45,38,Madurai,Sankranti,10-01-2024,16-01-2024,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care
268ca2,STVJD-0,CAMP_SAN_01,P15,3000,500 Cashback,63,151,Vijayawada,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1
a1624e,STHYD-1,CAMP_DIW_01,P02,860,33% OFF,351,449,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples
31b59d,STVSK-3,CAMP_SAN_01,P10,50,25% OFF,27,21,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care
82454e,STMLR-1,CAMP_DIW_01,P05,55,25% OFF,54,48,Mangalore,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care
1548f8,STVSK-4,CAMP_SAN_01,P15,3000,500 Cashback,100,175,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1
84a2f4,STCHE-7,CAMP_SAN_01,P04,370,BOGOF,423,1801,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples
9e59d5,STVSK-1,CAMP_DIW_01,P05,55,25% OFF,64,49,Visakhapatnam,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care
873333,STMLR-0,CAMP_DIW_01,P15,3000,500 Cashback,196,509,Mangalore,Diwali,12-11-2023,18-11-2023,Atliq_Home_Essential_8_Product_Combo,Combo1
8b751b,STMLR-0,CAMP_SAN_01,P05,55,25% OFF,15,12,Mangalore,Sankranti,10-01-2024,16-01-2024,Atliq_Scrub_Sponge_For_Dishwash,Home Care
f856b9,STMLR-2,CAMP_SAN_01,P15,3000,500 Cashback,66,147,Mangalore,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1
dcaa89,STHYD-6,CAMP_SAN_01,P13,350,BOGOF,100,403,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances
677e2c,STHYD-1,CAMP_SAN_01,P13,350,BOGOF,122,326,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances
b00eeb,STCHE-0,CAMP_SAN_01,P08,1190,BOGOF,51,196,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care
8ff468,STVJD-0,CAMP_SAN_01,P03,200,BOGOF,193,773,Vijayawada,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples
72f6b4,STTRV-0,CAMP_SAN_01,P02,860,33% OFF,241,344,Trivandrum,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples
300664,STHYD-5,CAMP_DIW_01,P13,350,BOGOF,80,276,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_High_Glo_15W_LED_Bulb,Home Appliances
7ecbbb,STHYD-1,CAMP_DIW_01,P06,415,25% OFF,103,88,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care
2dc515,STMYS-3,CAMP_SAN_01,P01,172,33% OFF,232,294,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples
a4fb0b,STMDU-0,CAMP_SAN_01,P02,860,33% OFF,318,448,Madurai,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples
f2d198,STTRV-1,CAMP_DIW_01,P03,156,25% OFF,166,157,Trivandrum,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples
df5c15,STBLR-5,CAMP_DIW_01,P06,415,25% OFF,101,90,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care
4e6a19,STHYD-3,CAMP_SAN_01,P07,300,BOGOF,45,121,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care
6436da,STMDU-1,CAMP_SAN_01,P08,1190,BOGOF,30,118,Madurai,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care
852b4f,STHYD-5,CAMP_SAN_01,P12,62,50% OFF,49,70,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care
26322a,STMLR-0,CAMP_DIW_01,P10,65,50% OFF,52,71,Mangalore,Diwali,12-11-2023,18-11-2023,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care
57576d,STBLR-5,CAMP_SAN_01,P08,1190,BOGOF,49,194,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care
af646e,STHYD-4,CAMP_SAN_01,P11,190,50% OFF,54,78,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care
ccbc3a,STTRV-0,CAMP_DIW_01,P06,415,25% OFF,52,49,Trivandrum,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care
572031,STBLR-6,CAMP_SAN_01,P03,200,BOGOF,423,1734,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples
5a21a5,STBLR-4,CAMP_SAN_01,P10,50,25% OFF,31,26,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care
c6bf42,STCBE-3,CAMP_DIW_01,P07,300,BOGOF,52,173,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_Curtains,Home Care
f5ff07,STCHE-6,CAMP_DIW_01,P11,190,50% OFF,80,100,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care
2c8137,STVSK-3,CAMP_SAN_01,P07,300,BOGOF,31,77,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care
4e3a3d,STVJD-0,CAMP_DIW_01,P02,860,33% OFF,197,285,Vijayawada,Diwali,12-11-2023,18-11-2023,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples
582098,STMYS-1,CAMP_SAN_01,P14,1020,BOGOF,109,453,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,Home Appliances
9387d1,STHYD-6,CAMP_DIW_01,P02,860,33% OFF,329,470,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples
6c9451,STVSK-0,CAMP_DIW_01,P03,156,25% OFF,259,225,Visakhapatnam,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples
9c74f7,STBLR-9,CAMP_DIW_01,P09,110,50% OFF,71,90,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care
c3bbcc,STBLR-2,CAMP_SAN_01,P07,300,BOGOF,31,122,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care
00a25a,STCHE-3,CAMP_SAN_01,P12,62,50% OFF,64,89,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care
7b0f7d,STVJD-1,CAMP_DIW_01,P01,172,33% OFF,180,255,Vijayawada,Diwali,12-11-2023,18-11-2023,Atliq_Masoor_Dal (1KG),Grocery & Staples
b484bd,STTRV-1,CAMP_DIW_01,P06,415,25% OFF,36,34,Trivandrum,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care
3aaafb,STMDU-2,CAMP_DIW_01,P06,415,25% OFF,50,43,Madurai,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care
20d916,STCBE-1,CAMP_DIW_01,P07,300,BOGOF,57,188,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_Curtains,Home Care
eccfbe,STCHE-1,CAMP_DIW_01,P02,860,33% OFF,364,451,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples
71a7a0,STCHE-6,CAMP_DIW_01,P14,1020,BOGOF,59,195,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,Home Appliances
fd2628,STBLR-8,CAMP_DIW_01,P15,3000,500 Cashback,437,1306,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Home_Essential_8_Product_Combo,Combo1
7b187a,STVSK-1,CAMP_SAN_01,P14,1020,BOGOF,82,322,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,Home Appliances
345b49,STMDU-2,CAMP_SAN_01,P14,1020,BOGOF,76,300,Madurai,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,Home Appliances
1c4a78,STMLR-2,CAMP_SAN_01,P12,62,50% OFF,27,31,Mangalore,Sankranti,10-01-2024,16-01-2024,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care
70c312,STHYD-4,CAMP_SAN_01,P13,350,BOGOF,135,534,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances
1ee94b,STHYD-0,CAMP_DIW_01,P13,350,BOGOF,68,235,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_High_Glo_15W_LED_Bulb,Home Appliances
c381ea,STMLR-1,CAMP_SAN_01,P08,1190,BOGOF,27,106,Mangalore,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care
8724c8,STCBE-4,CAMP_SAN_01,P04,370,BOGOF,363,990,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples
8f3699,STVSK-3,CAMP_DIW_01,P03,156,25% OFF,196,174,Visakhapatnam,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples
bfb2b4,STBLR-7,CAMP_SAN_01,P13,350,BOGOF,133,559,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances
19e2f0,STCHE-7,CAMP_SAN_01,P11,190,50% OFF,58,81,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care
a0d919,STMDU-1,CAMP_DIW_01,P08,1190,BOGOF,35,122,Madurai,Diwali,12-11-2023,18-11-2023,Atliq_Double_Bedsheet_set,Home Care
